subject,session,run,task,vif
sub-s599,ses-11,run-1,stopSignalWFlanker,5.44181131305962
sub-s599,ses-12,run-1,spatialTSWCuedTS,5.535482452965296
sub-s599,ses-12,run-1,stopSignalWDirectedForgetting,10.723968554728732
sub-s599,ses-12,run-1,stopSignalWFlanker,7.359645641978203
sub-s645,ses-11,run-1,spatialTSWCuedTS,27.43220707215753
sub-s645,ses-11,run-1,stopSignalWDirectedForgetting,11.08022751635688
sub-s645,ses-11,run-1,stopSignalWFlanker,5.021465383309562
sub-s645,ses-12,run-1,spatialTSWCuedTS,5.304267413433516
sub-s645,ses-12,run-1,stopSignalWDirectedForgetting,10.555566862139305
sub-s645,ses-12,run-1,stopSignalWFlanker,5.615809720667859
sub-s76,ses-11,run-1,stopSignalWDirectedForgetting,25.163584642075925
sub-s76,ses-11,run-1,stopSignalWFlanker,5.7736523389517815
sub-s76,ses-12,run-1,directedForgettingWFlanker,9.184486278889906
sub-s76,ses-12,run-1,stopSignalWDirectedForgetting,20.564705424457696
sub-s76,ses-12,run-1,stopSignalWFlanker,5.413583353731453
sub-s76,ses-12,run-2,directedForgettingWFlanker,9.170628234276892
sub-s874,ses-11,run-1,spatialTSWCuedTS,9.135230347277329
sub-s874,ses-11,run-1,stopSignalWDirectedForgetting,12.553236831957776
sub-s874,ses-11,run-1,stopSignalWFlanker,5.777357717004787
sub-s874,ses-12,run-1,spatialTSWCuedTS,9.307215796044389
sub-s874,ses-12,run-1,stopSignalWDirectedForgetting,11.361756960219417
sub-s874,ses-12,run-1,stopSignalWFlanker,6.368858376112871
sub-s956,ses-11,run-1,directedForgettingWCuedTS,6.958981396370779
sub-s956,ses-11,run-1,stopSignalWDirectedForgetting,12.122639752581838
sub-s956,ses-11,run-1,stopSignalWFlanker,20.67842133461564
sub-s956,ses-12,run-1,directedForgettingWCuedTS,6.570091046882991
sub-s956,ses-12,run-1,stopSignalWDirectedForgetting,10.032214233749665
sub-s956,ses-12,run-1,stopSignalWFlanker,5.077421432979731
